,Mkt-RF,SMB,HML,RF,Book to Market Ratio,Treasury Bill,AAA Yields,BAA Yields,Long Term Yield,Net Equity Expansion,Risk-Free Rate,Inflation,Long Term Rate of Returns,corpr,Stock Variance,Cross-Sectional Premium,CRSP Value Weighted Return,CRSP Value Weighted Return Excluding Dividends
19260726,0.53,-0.38,-0.25,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260727,0.43,-0.45,0.26,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260728,1.09,0.04,-0.28,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260729,0.36,-0.61,-1.01,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260730,0.14,-0.47,0.55,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260731,0.46,-0.12,-0.17,0.009,0.43326258,0.0311,0.0471,0.0579,0.037,,0.002591667,-0.011299435,0.0004,0.0057,0.000642888,,0.040403,0.038168
19260802,0.84,-0.22,-0.03,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260803,0.47,-0.27,-0.6,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260804,-0.36,0.16,0.25,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260805,-0.09,0.01,0.73,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260806,0.68,0.08,0.16,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260807,0.46,0.08,-0.24,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260809,0.21,-0.04,-0.26,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260810,-1.4,0.34,0.21,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260811,-0.57,0.21,0.34,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260812,0.84,-0.77,0.42,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260813,0.58,-0.85,0.25,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260814,0.69,0.15,-0.36,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260816,0.07,0.23,0.7,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260817,-0.95,0.34,0.16,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260818,0.26,0.08,0.04,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260819,-0.6,0.12,0.1,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260820,-0.2,-0.36,0.42,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260821,0.32,-0.06,0.49,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260823,0.49,-0.48,0.62,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260824,-0.84,0.5,-0.09,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260825,-0.32,-0.43,0.28,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260826,0.53,0.09,0.5,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260827,0.35,0.13,-0.39,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260828,0.34,0.15,-0.06,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260830,0.3,0,0.42,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260831,0.58,-0.52,-0.04,0.01,0.427050643,0.0327,0.0472,0.0581,0.0373,,0.002725,-0.005714286,0,0.0044,0.001208628,,0.029822,0.025747
19260901,0.55,0.52,-0.08,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260902,-0.06,-0.07,0.21,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260903,0.5,-0.3,0.03,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260907,0.59,-0.25,-0.24,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260908,-0.51,-0.1,0.08,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260909,-0.07,0.16,0.26,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260910,-0.83,0.09,-0.13,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260911,-0.44,0.32,0.13,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260913,-0.03,-0.11,0.5,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260914,0.9,-0.62,0.09,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260915,-0.21,0.4,-0.19,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260916,-0.18,-0.33,0.1,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260917,-1.01,-0.16,-0.28,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260918,0.7,-0.28,-0.11,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260920,-0.64,0.03,-0.01,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260921,0.3,-0.42,0.19,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260922,-0.13,0.05,-0.01,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260923,0.26,-0.16,0.06,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260924,0.62,-0.19,-0.03,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260925,0.21,0.02,-0.56,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260927,-0.12,0.14,0.39,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260928,0,-0.02,-0.35,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260929,-0.3,0.22,-0.19,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19260930,0.3,-0.22,0.06,0.009,0.43871294,0.0342,0.0472,0.0579,0.0372,,0.00285,0.005747126,0.0038,0.0057,0.000740769,,0.01342,0.009122
19261001,0.73,-0.27,-0.23,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261002,-0.1,-0.02,-0.08,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261004,-1.4,-0.1,-0.1,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261005,-1.1,0.44,-0.72,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261006,-0.56,-0.69,-0.28,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261007,-0.77,0.32,0.3,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261008,0.59,-0.36,0.58,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261009,-0.96,0.44,-0.05,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261011,-0.69,-0.08,-0.16,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261013,0.69,-0.31,-0.04,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261014,0.97,-0.47,1.08,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261015,-1.83,0.13,-0.29,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261016,-0.73,-0.34,0.42,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261018,0.7,-0.16,0.46,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261019,-1.06,0.4,-0.54,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261020,-0.25,-0.59,-1.17,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261021,1.53,-0.12,0.55,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261022,-0.4,0.44,0.2,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261023,0.54,0.5,0.19,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261025,-0.1,0.35,-0.03,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261026,0.32,0.02,0.3,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261027,1,-0.47,0.19,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261028,-0.08,0.69,0.2,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261029,-0.06,0.01,-0.33,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261030,-0.25,0.2,0.25,0.013,0.460334306,0.0358,0.0471,0.0581,0.0367,,0.002983333,0.005714286,0.0102,0.0097,0.002161148,,-0.030172,-0.032434
19261101,0.46,-0.11,-0.43,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261103,0.2,-0.24,-0.28,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261104,0.59,-0.15,0.69,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261105,0.07,-0.09,0.23,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261106,0.16,-0.29,0.05,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261108,0.52,-0.07,0.08,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261109,0.13,0.29,-0.49,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261110,-0.6,0.15,0.09,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261111,0.67,0.03,0.09,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261112,0.24,-0.03,-0.37,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261113,-0.24,0.12,-0.16,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261115,0.37,0.28,-0.25,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261116,0.15,-0.31,-0.06,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261117,-0.35,-0.35,0.46,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261118,-0.48,0.17,0.2,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261119,-0.64,0.56,0.07,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261120,0.4,0.01,0.12,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261122,0.57,0.16,-0.2,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261123,0.33,0.02,0.2,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261124,0.08,-0.22,0.2,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261126,0.2,-0.02,0.03,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261127,-0.15,-0.04,-0.28,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261129,-0.37,-0.13,0.06,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261130,0.26,0.03,-0.5,0.013,0.443308847,0.0335,0.0468,0.0577,0.0358,,0.002791667,0.005681818,0.016,0.0057,0.000538589,,0.026937,0.019367
19261201,0.36,0.05,-0.34,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261202,0.51,-0.01,0.1,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261203,0.32,-0.05,0.06,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261204,-0.17,0.2,0.1,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261206,0.04,0.32,-0.37,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261207,-0.04,0.34,-0.51,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261208,-0.08,0.21,0.25,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261209,0.45,-0.15,0.44,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261210,0.35,-0.17,0.5,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261211,0.09,-0.1,-0.5,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261213,0.42,0.64,0,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261214,0.1,-0.09,0.14,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261215,0.17,-0.22,0.22,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261216,-0.63,-0.2,0.05,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261217,0.91,-0.75,0.68,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261218,0.42,-0.22,0.2,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261220,-0.31,0.08,-0.13,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261221,-0.03,-0.38,-0.19,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261222,0.02,-0.19,-0.53,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261223,0.28,0.01,-0.47,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261224,0.31,0.21,0.26,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261227,-0.22,-0.14,-0.4,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261228,-1.07,-0.07,-0.16,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261229,0.44,-0.16,-0.06,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261230,-0.35,0.44,0.1,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19261231,0.33,0.3,0.67,0.011,0.441475827,0.0307,0.0468,0.0568,0.0354,0.05088521,0.002558333,0,0.0078,0.0056,0.000464618,,0.026047,0.020321
19270103,-0.79,0.19,0.09,0.01,0.443705645,0.0323,0.0466,0.0561,0.0351,0.050832763,0.002691667,-0.011299435,0.0075,0.0056,0.000469895,,-0.00291,-0.005579
19270104,0.31,0.15,-0.67,0.01,0.443705645,0.0323,0.0466,0.0561,0.0351,0.050832763,0.002691667,-0.011299435,0.0075,0.0056,0.000469895,,-0.00291,-0.005579
19270105,0.14,0.43,-0.31,0.01,0.443705645,0.0323,0.0466,0.0561,0.0351,0.050832763,0.002691667,-0.011299435,0.0075,0.0056,0.000469895,,-0.00291,-0.005579
19270106,-0.17,0,0.07,0.01,0.443705645,0.0323,0.0466,0.0561,0.0351,0.050832763,0.002691667,-0.011299435,0.0075,0.0056,0.000469895,,-0.00291,-0.005579
19270107,0.3,-0.25,0.44,0.01,0.443705645,0.0323,0.0466,0.0561,0.0351,0.050832763,0.002691667,-0.011299435,0.0075,0.0056,0.000469895,,-0.00291,-0.005579
19270108,0.39,-0.18,0.27,0.01,0.443705645,0.0323,0.0466,0.0561,0.0351,0.050832763,0.002691667,-0.011299435,0.0075,0.0056,0.000469895,,-0.00291,-0.005579
